scenario,perturbed_indicator,factor,model_id,score,rank,rank_change_vs_baseline
gpqa_diamond_x0.8,gpqa_diamond,0.8,claude-fable-5,0.7315816220,1,0
gpqa_diamond_x0.8,gpqa_diamond,0.8,kimi-k3,0.5892098379,2,0
gpqa_diamond_x0.8,gpqa_diamond,0.8,gpt-5.6-sol,0.5084185025,3,0
gpqa_diamond_x0.8,gpqa_diamond,0.8,gpt-5.5,0.4328915458,4,0
gpqa_diamond_x0.8,gpqa_diamond,0.8,claude-opus-4.8,0.3976293969,5,0
gpqa_diamond_x0.9,gpqa_diamond,0.9,claude-fable-5,0.7285850416,1,0
gpqa_diamond_x0.9,gpqa_diamond,0.9,kimi-k3,0.5911884680,2,0
gpqa_diamond_x0.9,gpqa_diamond,0.9,gpt-5.6-sol,0.5129251242,3,0
gpqa_diamond_x0.9,gpqa_diamond,0.9,gpt-5.5,0.4367727601,4,0
gpqa_diamond_x0.9,gpqa_diamond,0.9,claude-opus-4.8,0.3940395083,5,0
gpqa_diamond_x1.1,gpqa_diamond,1.1,claude-fable-5,0.7219208358,1,0
gpqa_diamond_x1.1,gpqa_diamond,1.1,kimi-k3,0.5956762307,2,0
gpqa_diamond_x1.1,gpqa_diamond,1.1,gpt-5.6-sol,0.5229200445,3,0
gpqa_diamond_x1.1,gpqa_diamond,1.1,gpt-5.5,0.4454446613,4,0
gpqa_diamond_x1.1,gpqa_diamond,1.1,claude-opus-4.8,0.3860369437,5,0
gpqa_diamond_x1.2,gpqa_diamond,1.2,claude-fable-5,0.7183130059,1,0
gpqa_diamond_x1.2,gpqa_diamond,1.2,kimi-k3,0.5981560126,2,0
gpqa_diamond_x1.2,gpqa_diamond,1.2,gpt-5.6-sol,0.5283172593,3,0
gpqa_diamond_x1.2,gpqa_diamond,1.2,gpt-5.5,0.4501632015,4,0
gpqa_diamond_x1.2,gpqa_diamond,1.2,claude-opus-4.8,0.3816936108,5,0
hle_full_no_tools_x0.8,hle_full_no_tools,0.8,claude-fable-5,0.7069553447,1,0
hle_full_no_tools_x0.8,hle_full_no_tools,0.8,kimi-k3,0.6378398040,2,0
hle_full_no_tools_x0.8,hle_full_no_tools,0.8,gpt-5.6-sol,0.5387933205,3,0
hle_full_no_tools_x0.8,hle_full_no_tools,0.8,gpt-5.5,0.4743936136,4,0
hle_full_no_tools_x0.8,hle_full_no_tools,0.8,claude-opus-4.8,0.3546002729,5,0
hle_full_no_tools_x0.9,hle_full_no_tools,0.9,claude-fable-5,0.7161499673,1,0
hle_full_no_tools_x0.9,hle_full_no_tools,0.9,kimi-k3,0.6149063216,2,0
hle_full_no_tools_x0.9,hle_full_no_tools,0.9,gpt-5.6-sol,0.5283400582,3,0
hle_full_no_tools_x0.9,hle_full_no_tools,0.9,gpt-5.5,0.4574377203,4,0
hle_full_no_tools_x0.9,hle_full_no_tools,0.9,claude-opus-4.8,0.3727498081,5,0
hle_full_no_tools_x1.1,hle_full_no_tools,1.1,claude-fable-5,0.7344453876,1,0
hle_full_no_tools_x1.1,hle_full_no_tools,1.1,kimi-k3,0.5731358143,2,0
hle_full_no_tools_x1.1,hle_full_no_tools,1.1,gpt-5.6-sol,0.5072438438,3,0
hle_full_no_tools_x1.1,hle_full_no_tools,1.1,gpt-5.5,0.4251257702,4,0
hle_full_no_tools_x1.1,hle_full_no_tools,1.1,claude-opus-4.8,0.4067461749,5,0
hle_full_no_tools_x1.2,hle_full_no_tools,1.2,claude-fable-5,0.7433310605,1,0
hle_full_no_tools_x1.2,hle_full_no_tools,1.2,kimi-k3,0.5542059216,2,0
hle_full_no_tools_x1.2,hle_full_no_tools,1.2,gpt-5.6-sol,0.4968628673,3,0
hle_full_no_tools_x1.2,hle_full_no_tools,1.2,claude-opus-4.8,0.4224554195,4,1
hle_full_no_tools_x1.2,hle_full_no_tools,1.2,gpt-5.5,0.4099832936,5,-1
aa_lcr_x0.8,aa_lcr,0.8,claude-fable-5,0.7471899271,1,0
aa_lcr_x0.8,aa_lcr,0.8,kimi-k3,0.5822298404,2,0
aa_lcr_x0.8,aa_lcr,0.8,gpt-5.6-sol,0.5077896300,3,0
aa_lcr_x0.8,aa_lcr,0.8,gpt-5.5,0.4233249384,4,0
aa_lcr_x0.8,aa_lcr,0.8,claude-opus-4.8,0.4015090469,5,0
aa_lcr_x0.9,aa_lcr,0.9,claude-fable-5,0.7363715939,1,0
aa_lcr_x0.9,aa_lcr,0.9,kimi-k3,0.5876189693,2,0
aa_lcr_x0.9,aa_lcr,0.9,gpt-5.6-sol,0.5126118254,3,0
aa_lcr_x0.9,aa_lcr,0.9,gpt-5.5,0.4319535748,4,0
aa_lcr_x0.9,aa_lcr,0.9,claude-opus-4.8,0.3960031957,5,0
aa_lcr_x1.1,aa_lcr,1.1,claude-fable-5,0.7142690152,1,0
aa_lcr_x1.1,aa_lcr,1.1,kimi-k3,0.5993535984,2,0
aa_lcr_x1.1,aa_lcr,1.1,gpt-5.6-sol,0.5232233684,3,0
aa_lcr_x1.1,aa_lcr,1.1,gpt-5.5,0.4502580870,4,0
aa_lcr_x1.1,aa_lcr,1.1,claude-opus-4.8,0.3840594272,5,0
aa_lcr_x1.2,aa_lcr,1.2,claude-fable-5,0.7032156619,1,0
aa_lcr_x1.2,aa_lcr,1.2,kimi-k3,0.6055722627,2,0
aa_lcr_x1.2,aa_lcr,1.2,gpt-5.6-sol,0.5289072229,3,0
aa_lcr_x1.2,aa_lcr,1.2,gpt-5.5,0.4597212314,4,0
aa_lcr_x1.2,aa_lcr,1.2,claude-opus-4.8,0.3777540767,5,0
scicode_x0.8,scicode,0.8,claude-fable-5,0.7234861554,1,0
scicode_x0.8,scicode,0.8,kimi-k3,0.5913514951,2,0
scicode_x0.8,scicode,0.8,gpt-5.6-sol,0.5172882441,3,0
scicode_x0.8,scicode,0.8,gpt-5.5,0.4397947648,4,0
scicode_x0.8,scicode,0.8,claude-opus-4.8,0.3909086399,5,0
scicode_x0.9,scicode,0.9,claude-fable-5,0.7243738735,1,0
scicode_x0.9,scicode,0.9,kimi-k3,0.5922997730,2,0
scicode_x0.9,scicode,0.9,gpt-5.6-sol,0.5175188100,3,0
scicode_x0.9,scicode,0.9,gpt-5.5,0.4403520763,4,0
scicode_x0.9,scicode,0.9,claude-opus-4.8,0.3905551126,5,0
scicode_x1.1,scicode,1.1,claude-fable-5,0.7264252239,1,0
scicode_x1.1,scicode,1.1,kimi-k3,0.5944950866,2,0
scicode_x1.1,scicode,1.1,gpt-5.6-sol,0.5180542963,3,0
scicode_x1.1,scicode,1.1,gpt-5.5,0.4416444551,4,0
