scenario,indicator_key,subjective_weight,rationale
research_long_text,gpqa_diamond,0.12,Scientific reasoning
research_long_text,hle_full_no_tools,0.12,Hard open-domain reasoning
research_long_text,aa_lcr,0.25,Long-context reasoning is the primary task
research_long_text,scicode,0.05,Auxiliary research programming
research_long_text,gdpval_aa_v2,0.08,Professional task execution
research_long_text,mmmu_pro_no_tools,0.08,Multimodal evidence
research_long_text,omnidocbench,0.12,Document understanding
research_long_text,charxiv_rq_no_tools,0.13,Research-chart and document reasoning
research_long_text,mathvision_no_tools,0.05,Visual mathematical material
daily_dialogue,gpqa_diamond,0.12,Reasoning reliability
daily_dialogue,hle_full_no_tools,0.12,General difficult questions
daily_dialogue,aa_lcr,0.10,Conversation context retention
daily_dialogue,scicode,0.03,Low coding relevance
daily_dialogue,gdpval_aa_v2,0.20,Broad practical task value
daily_dialogue,mmmu_pro_no_tools,0.15,Everyday image understanding
daily_dialogue,omnidocbench,0.10,Document interaction
daily_dialogue,charxiv_rq_no_tools,0.06,Lower specialist-document relevance
daily_dialogue,mathvision_no_tools,0.12,Visual reasoning
code_development,gpqa_diamond,0.12,Complex debugging reasoning
code_development,hle_full_no_tools,0.08,General problem solving
code_development,aa_lcr,0.08,Repository-scale context
code_development,scicode,0.40,Primary coding indicator
code_development,gdpval_aa_v2,0.12,Real task completion
code_development,mmmu_pro_no_tools,0.05,Low direct relevance
code_development,omnidocbench,0.05,Documentation understanding
code_development,charxiv_rq_no_tools,0.05,Technical chart reading
code_development,mathvision_no_tools,0.05,Low direct relevance
